序号,日期,问题描述,功能分类,解决状态,出现位置,原因分析,相关文件,修复说明,API测试覆盖,API测试通过,E2E测试覆盖,E2E测试通过,复核状态,复核人,复核日期
1,2025/11/7,用户管理中新建用户和编辑用户页面存在身份证字段,用户管理,已解决,前端,需求理解问题 - 系统不应存储敏感身份证信息,frontend/src/pages/admin/UserManagement.tsx,"移除User接口中的id_card字段，移除UserFormData接口中的idCard字段，移除表单中的身份证输入框，移除API调用中的idCard参数",否,不需要,"否 - 数据移除类Bug无需E2E测试(策略1)",不需要,通过,,2025/11/7
2,2025/11/7,教师个人信息页面显示注册时间字段,个人信息,已解决,前端,需求理解问题 - 注册时间对最终用户并不必要,frontend/src/pages/ProfilePage.tsx,"从个人信息展示区域移除注册时间字段（第242-244行）",否,不需要,"否 - 数据移除类Bug无需E2E测试(策略1)",不需要,通过,,2025/11/7
3,2025/11/7,区级管理员在权限管理中能看到市级测评题库审核权限,权限管理,已解决,后端,工作失误 - 缺少权限类型过滤,backend/src/models/TeacherPermission.js,"在getAll()方法中添加权限类型过滤，区级管理员只能看到practice_district_review类型权限（第174-179行）","是 - tests/api/hierarchical-permission-api-test.js (Bug #3: 区级管理员登录+权限类型过滤验证)",未通过,"是 - tests/e2e/regression/hierarchical-permissions.spec.ts (PRM103)",未通过,通过,,2025/11/7
4,2025/11/7,权限管理中区域和授权人显示不正确,权限管理,已解决,后端,工作失误 - 缺少数据库表连接,"backend/src/models/TeacherPermission.js, frontend/src/pages/admin/PermissionManagement.tsx","后端: 在getAll()方法中添加districts和schools表JOIN (第137-148行); 前端: 将区域列拆分为区域和学校两列 (第315-338行)","是 - tests/api/hierarchical-permission-api-test.js (Bug #4: district_name和school_name字段验证)",通过,"是 - tests/e2e/regression/hierarchical-permissions.spec.ts (PRM104)",通过,通过,,2025/11/8
5,2025/11/7,权限管理中备注字段无法编辑,权限管理,已解决,后端,工作失误 - 硬编码备注信息,"backend/src/models/TeacherPermission.js, backend/src/routes/permissions.js, tests/e2e/regression/hierarchical-permissions.spec.ts","后端: 扩展grantDistrictPermission()方法签名，添加expiresAt和notes参数（第208-219行）; 测试: 修复按钮选择器适配文本空格 (第382行)","是 - tests/api/hierarchical-permission-api-test.js (Bug #5: notes字段持久化验证)",通过,"是 - tests/e2e/regression/hierarchical-permissions.spec.ts (PRM105)",通过,通过,,2025/11/8
6,2025/11/8,权限管理中已失效的权限无法恢复,权限管理,已解决,前端,功能缺失 - 编辑失效权限时应允许恢复,frontend/src/pages/admin/PermissionManagement.tsx,"移除编辑按钮的disabled={inactive}限制（第411-417行），允许编辑失效权限并修改到期时间以恢复权限，为失效权限的编辑按钮添加提示文字"编辑以恢复权限"",否,不需要,"是 - tests/e2e/regression/hierarchical-permissions.spec.ts (PRM106)",待运行,通过,,2025/11/9
7,2025/11/8,题库管理中题目列表没有翻页功能,题库管理,已解决,后端+前端,功能缺失 - 后端未返回总数导致分页显示不正确,"backend/src/models/QuestionBank.js, backend/src/routes/questionBank.js, frontend/src/pages/teacher/QuestionBankPage.tsx","后端: 添加countAll()和countByScope()方法计算总数（QuestionBank.js第184-273行，686-743行）; 后端: 修改/bank接口返回meta.total字段（questionBank.js第82-123行）; 前端: 使用response.meta.total显示正确的分页总数（QuestionBankPage.tsx第113行）","是 - tests/api/bug-fixes-api-test.js (Bug #7.1-7.3: meta.total字段验证)",通过,"是 - tests/e2e/regression/question-bank-workflow.spec.ts (QBK201)",待运行,通过,,2025/11/9
8,2025/11/8,题库管理中重置按钮未重置题目难度和题型,题库管理,已解决,前端,工作失误 - 难度和题型Select组件缺少value绑定,frontend/src/pages/teacher/QuestionBankPage.tsx,"为难度Select添加value={filters.difficulty}属性（第508行），为题型Select添加value={filters.type}属性（第519行），使其成为受控组件",否,不需要,"是 - tests/e2e/regression/question-bank-workflow.spec.ts (QBK202)",待运行,通过,,2025/11/9
9,2025/11/8,题目查询功能需要区分筛选和搜索,题库管理,已解决,前后端,需求优化 - 筛选和搜索混在一起不清晰,"backend/src/models/QuestionBank.js, frontend/src/pages/teacher/QuestionBankPage.tsx","前端: 将UI分为搜索区和筛选区（QuestionBankPage.tsx第457-564行），使用Input.Search组件支持题目内容和编码搜索; 后端: searchQuestions方法添加question_code字段搜索支持（QuestionBank.js第419行）","是 - tests/api/bug-fixes-api-test.js (Bug #9.1-9.4: question_code搜索验证)",通过,"是 - tests/e2e/regression/question-bank-workflow.spec.ts (QBK203)",待运行,通过,,2025/11/9
10,2025/11/8,题目列表缺少题库范围列,题库管理,已解决,前端,功能缺失 - 表格中缺少显示题库范围的列,frontend/src/pages/teacher/QuestionBankPage.tsx,"Question接口添加scope?:string[]字段（第45行）; 表格中添加题库范围列，使用getScopeText()渲染彩色Tag（第359-375行）",否,不需要,"否 - 无关键业务逻辑，UI展示优化",不需要,通过,,2025/11/8
11,2025/11/8,个人信息页面编辑真实姓名后显示错误,个人信息,已解决,后端,工作失误 - /users/profile接口返回snake_case字段而非camelCase,"backend/src/routes/users.js, frontend/src/pages/ProfilePage.tsx","修改/users/profile接口（第47-58行），调用User.getDetailedProfile()方法返回camelCase字段（realName），保持与/users/profile/student和/users/profile/teacher接口一致","是 - tests/api/bug-fixes-api-test.js (Bug #11.1-11.3: realName字段camelCase验证)",通过,"是 - tests/e2e/regression/profile.spec.ts (PRF102/PRF122已覆盖姓名编辑)",通过,通过,,2025/11/9
12,2025/11/13,主页默认打开不是登录页面而是用户页面,身份验证,已解决,前端,功能缺失 - MainLayout组件缺少身份验证检查,frontend/src/components/layout/MainLayout.tsx,"在MainLayout组件中添加useEffect身份验证检查（第30-35行），如果用户未登录（!token || !user）则重定向到登录页面",否,不需要,"是 - tests/e2e/regression/unauthenticated-redirect.spec.ts (BUG012)",待运行,通过,用户,2025/11/26
13,2025/11/13,学校和区管理员在用户管理中看不到教师,用户管理,已解决,数据库,数据错误 - 云岩区教师school_id设置错误,数据库 - teachers表,"修正云岩区教师的school_id数据: 云岩一小教师(蒋磊、韩雪)→school_id=6; 云岩一中教师(曹斌、许红)→school_id=7; 云岩一高教师(邓涛、夏婷)→school_id=8; 修正前所有教师school_id都错误地设置为1(贵阳市第一小学)",否,不需要,"否 - 数据修复类Bug无需E2E测试(策略1)",不需要,通过,用户,2025/11/26
14,2025/11/21,主页默认不是登录页面而是空白用户页,身份验证,已解决,前端,功能缺失 - HomePage缺少未登录用户重定向逻辑,frontend/src/pages/HomePage.tsx,"在HomePage组件useEffect中添加身份验证检查（第26-29行），未登录用户(!user)重定向到/login页面，管理员重定向到/admin/home",否,不需要,"是 - tests/e2e/regression/unauthenticated-redirect.spec.ts (BUG014)",待运行,通过,用户,2025/11/21
15,2025/11/21,题库管理中草稿箱按钮点击后进入空白页,题库管理,已解决,前端,功能未实现 - 草稿箱功能尚未开发但按钮已添加,frontend/src/pages/teacher/QuestionBankPage.tsx,"移除QuestionBankPage中的草稿箱按钮（第427行）和InboxOutlined图标导入（第17-25行），添加注释说明草稿箱功能暂未实现",否,不需要,"否 - UI移除类Bug无需E2E测试(策略1)",不需要,通过,用户,2025/11/21
16,2025/11/21,校级管理员能看到权限管理菜单,权限管理,已解决,前端,权限控制缺失 - MainLayout菜单未检查管理员级别,frontend/src/components/layout/MainLayout.tsx,"在MainLayout中添加hasPermissionManagementAccess()权限检查函数（第74-78行），仅对district_admin/municipal_admin/system_admin显示权限管理菜单（第116-122行）",否,不需要,"是 - tests/e2e/regression/admin-menu-permissions.spec.ts (BUG016)",待运行,通过,用户,2025/11/21
17,2025/11/21,发布区级题目时无可选审核人,题库审核,已解决,前端,前端缺少区域选择逻辑 - 只发送practice_district未附加区代码,"frontend/src/pages/teacher/DraftsPage.tsx, frontend/src/config/districts.ts","修复说明: 1. 导入district配置模块(getAllDistricts, buildDistrictScope); 2. 添加selectedDistrictCode状态; 3. 当用户选择'区级练习题库'时显示区域选择下拉框; 4. 区域列表从getAllDistricts()获取，显示区域代码和名称; 5. useEffect中检测区域选择，构造完整scope字符串'practice_district_YY'; 6. handleSubmit中使用完整scope提交审核; 7. 审核人选择器disabled状态添加区域条件判断",否,不需要,"是 - tests/e2e/regression/question-bank-scope-filter.spec.ts (BUG017/BUG022)",待运行,通过,用户,2025/11/26
18,2025/11/22,题库管理中题库范围筛选选项不全,题库管理,已解决,后端,功能缺失 - 后端API未传递完整用户信息,backend/src/routes/questionBank.js,"修复说明: /my-scopes路由调用getAvailableScopes时未传递userRole和userInfo参数，导致方法无法正确返回用户可见的所有题库范围。修改为: 1. 根据用户类型获取district_id和school_id; 2. 查询districts表获取district_code; 3. 传递完整的userInfo给getAvailableScopes方法",否,不需要,"是 - tests/e2e/regression/question-bank-scope-filter.spec.ts (BUG018)",待运行,通过,用户,2025/11/26
